# arch	model	K	arm	fingerprint	cycle_seconds	variant_slug	note
# grid A: arch x model, at env.sh's K and the reference arm
simba_like	gpt2_medium	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	opt_125m	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	distilbert	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
simba_like	tinyllama	39	reference	39d262c409bb	1e-9	vic2000__vicx__alg-linear_pruned__to100000000__noc__paper__wt96	
# grid B: arch x K x mapper arm, at env.sh's model
eyeriss_like	resnet18	30	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	resnet18	30	recon1	5a0308d9fffe	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon1	
eyeriss_like	resnet18	30	recon2	5a0308d9fffe	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon2	
eyeriss_like	resnet18	30	recon3	9e81680e4675	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__ert-recon3-weights_spad-write	
eyeriss_like	resnet18	30	recon4	8c7c8389065c	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw4-weights_spad__wrelax__ert-recon4-weights_spad-read	
eyeriss_like	resnet18	36	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	resnet18	36	recon1	b3974599ec77	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon1	
eyeriss_like	resnet18	36	recon2	b3974599ec77	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon2	
